context,target,split
vain to be that the pole,persuaded,train
to be persuaded the pole is,that,train
be persuaded that pole is the,the,train
persuaded that the is the seat,pole,train
that the pole the seat of,is,train
the pole is seat of frost,the,train
pole is the of frost and,seat,train
is the seat frost and desolation,of,train
the seat of and desolation it,frost,train
seat of frost desolation it ever,and,train
of frost and it ever presents,desolation,train
frost and desolation ever presents itself,it,train
and desolation it presents itself to,ever,train
desolation it ever itself to my,presents,train
it ever presents to my imagination,itself,train
ever presents itself my imagination as,to,train
presents itself to imagination as the,my,train
itself to my as the region,imagination,train
to my imagination the region of,as,train
my imagination as region of beauty,the,train
imagination as the of beauty and,region,train
as the region beauty and delight,of,train
the region of and delight .,beauty,train
region of beauty delight . ,and,train
of beauty and . ,delight,train
beauty and delight ,.,train
and delight .,,train
", margaret ,",there,train
"there margaret , the",",",train
"there , , the sun",margaret,train
"there , margaret the sun is",",",train
", margaret , sun is forever",the,train
"margaret , the is forever visible",sun,train
", the sun forever visible ,",is,train
"the sun is visible , its",forever,train
"sun is forever , its broad",visible,train
is forever visible its broad disk,",",train
"forever visible , broad disk just",its,train
"visible , its disk just skirting",broad,train
", its broad just skirting the",disk,train
its broad disk skirting the horizon,just,train
broad disk just the horizon and,skirting,train
disk just skirting horizon and diffusing,the,train
just skirting the and diffusing a,horizon,train
skirting the horizon diffusing a perpetual,and,train
the horizon and a perpetual splendour,diffusing,train
horizon and diffusing perpetual splendour .,a,train
and diffusing a splendour . ,perpetual,train
diffusing a perpetual . ,splendour,train
a perpetual splendour ,.,train
perpetual splendour .,,train
for with your,there,train
there with your leave,for,train
"there for your leave ,",with,train
"there for with leave , my",your,train
"for with your , my sister",leave,train
"with your leave my sister ,",",",train
"your leave , sister , i",my,train
"leave , my , i will",sister,train
", my sister i will put",",",train
"my sister , will put some",i,train
"sister , i put some trust",will,train
", i will some trust in",put,train
i will put trust in preceding,some,train
will put some in preceding navigators,trust,train
put some trust preceding navigators there,in,train
some trust in navigators there snow,preceding,train
trust in preceding there snow and,navigators,train
in preceding navigators snow and frost,there,train
preceding navigators there and frost are,snow,train
navigators there snow frost are banished,and,train
there snow and are banished and,frost,train
"snow and frost banished and ,",are,train
"and frost are and , sailing",banished,train
"frost are banished , sailing over",and,train
are banished and sailing over a,",",train
"banished and , over a calm",sailing,train
"and , sailing a calm sea",over,train
", sailing over calm sea ,",a,train
"sailing over a sea , we",calm,train
"over a calm , we may",sea,train
a calm sea we may be,",",train
"calm sea , may be wafted",we,train
"sea , we be wafted to",may,train
", we may wafted to a",be,train
we may be to a land,wafted,train
may be wafted a land surpassing,to,train
be wafted to land surpassing in,a,train
wafted to a surpassing in wonders,land,train
to a land in wonders and,surpassing,train
a land surpassing wonders and in,in,train
land surpassing in and in beauty,wonders,train
surpassing in wonders in beauty every,and,train
in wonders and beauty every region,in,train
wonders and in every region hitherto,beauty,train
and in beauty region hitherto discovered,every,train
in beauty every hitherto discovered on,region,train
beauty every region discovered on the,hitherto,train
every region hitherto on the habitable,discovered,train
region hitherto discovered the habitable globe,on,train
hitherto discovered on habitable globe .,the,train
discovered on the globe . ,habitable,train
on the habitable . ,globe,train
the habitable globe ,.,train
habitable globe .,,train
productions and features,its,train
its and features may,productions,train
its productions features may be,and,train
its productions and may be without,features,train
productions and features be without example,may,train
"and features may without example ,",be,train
"features may be example , as",without,train
"may be without , as the",example,train
be without example as the phenomena,",",train
"without example , the phenomena of",as,train
"example , as phenomena of the",the,train
", as the of the heavenly",phenomena,train
as the phenomena the heavenly bodies,of,train
the phenomena of heavenly bodies undoubtedly,the,train
phenomena of the bodies undoubtedly are,heavenly,train
of the heavenly undoubtedly are in,bodies,train
the heavenly bodies are in those,undoubtedly,train
heavenly bodies undoubtedly in those undiscovered,are,train
bodies undoubtedly are those undiscovered solitudes,in,train
undoubtedly are in undiscovered solitudes .,those,train
are in those solitudes . ,undiscovered,train
in those undiscovered . ,solitudes,train
those undiscovered solitudes ,.,train
undiscovered solitudes .,,train
may not be,what,train
what not be expected,may,train
what may be expected in,not,train
what may not expected in a,be,train
may not be in a country,expected,train
not be expected a country of,in,train
be expected in country of eternal,a,train
expected in a of eternal light,country,train
in a country eternal light ?,of,train
a country of light ? ,eternal,train
country of eternal ? ,light,train
of eternal light ,?,train
eternal light ?,,train
may there discover,i,train
i there discover the,may,train
i may discover the wondrous,there,train
i may there the wondrous power,discover,train
may there discover wondrous power which,the,train
there discover the power which attracts,wondrous,train
discover the wondrous which attracts the,power,train
the wondrous power attracts the needle,which,train
wondrous power which the needle and,attracts,train
power which attracts needle and may,the,train
which attracts the and may regulate,needle,train
attracts the needle may regulate a,and,train
the needle and regulate a thousand,may,train
needle and may a thousand celestial,regulate,train
and may regulate thousand celestial observations,a,train
may regulate a celestial observations that,thousand,train
regulate a thousand observations that require,celestial,train
a thousand celestial that require only,observations,train
thousand celestial observations require only this,that,train
celestial observations that only this voyage,require,train
observations that require this voyage to,only,train
that require only voyage to render,this,train
require only this to render their,voyage,train
only this voyage render their seeming,to,train
this voyage to their seeming eccentricities,render,train
voyage to render seeming eccentricities consistent,their,train
to render their eccentricities consistent forever,seeming,train
render their seeming consistent forever .,eccentricities,train
their seeming eccentricities forever . ,consistent,train
seeming eccentricities consistent . ,forever,train
eccentricities consistent forever ,.,train
consistent forever .,,train
shall satiate my,i,train
i satiate my ardent,shall,train
i shall my ardent curiosity,satiate,train
i shall satiate ardent curiosity with,my,train
shall satiate my curiosity with the,ardent,train
satiate my ardent with the sight,curiosity,train
my ardent curiosity the sight of,with,train
ardent curiosity with sight of a,the,train
curiosity with the of a part,sight,train
with the sight a part of,of,train
the sight of part of the,a,train
sight of a of the world,part,train
of a part the world never,of,train
a part of world never before,the,train
part of the never before visited,world,train
"of the world before visited ,",never,train
"the world never visited , and",before,train
"world never before , and may",visited,train
never before visited and may tread,",",train
"before visited , may tread a",and,train
"visited , and tread a land",may,train
", and may a land never",tread,train
and may tread land never before,a,train
may tread a never before imprinted,land,train
tread a land before imprinted by,never,train
a land never imprinted by the,before,train
land never before by the foot,imprinted,train
never before imprinted the foot of,by,train
before imprinted by foot of man,the,train
imprinted by the of man .,foot,train
by the foot man . ,of,train
the foot of . ,man,train
foot of man ,.,train
of man .,,train
are my enticements,these,train
"these my enticements ,",are,train
"these are enticements , and",my,train
"these are my , and they",enticements,train
are my enticements and they are,",",train
"my enticements , they are sufficient",and,train
"enticements , and are sufficient to",they,train
", and they sufficient to conquer",are,train
and they are to conquer all,sufficient,train
they are sufficient conquer all fear,to,train
are sufficient to all fear of,conquer,train
sufficient to conquer fear of danger,all,train
to conquer all of danger or,fear,train
conquer all fear danger or death,of,train
all fear of or death and,danger,train
fear of danger death and to,or,train
of danger or and to induce,death,train
danger or death to induce me,and,train
or death and induce me to,to,train
death and to me to commence,induce,train
and to induce to commence this,me,train
to induce me commence this laborious,to,train
induce me to this laborious voyage,commence,train
me to commence laborious voyage with,this,train
to commence this voyage with the,laborious,train
commence this laborious with the joy,voyage,train
this laborious voyage the joy a,with,train
laborious voyage with joy a child,the,train
voyage with the a child feels,joy,train
with the joy child feels when,a,train
the joy a feels when he,child,train
joy a child when he embarks,feels,train
a child feels he embarks in,when,train
child feels when embarks in a,he,train
feels when he in a little,embarks,train
when he embarks a little boat,in,train
"he embarks in little boat ,",a,train
"embarks in a boat , with",little,train
"in a little , with his",boat,train
a little boat with his holiday,",",train
"little boat , his holiday mates",with,train
"boat , with holiday mates ,",his,train
", with his mates , on",holiday,train
"with his holiday , on an",mates,train
his holiday mates on an expedition,",",train
"holiday mates , an expedition of",on,train
"mates , on expedition of discovery",an,train
", on an of discovery up",expedition,train
on an expedition discovery up his,of,train
an expedition of up his native,discovery,train
expedition of discovery his native river,up,train
of discovery up native river .,his,train
discovery up his river . ,native,train
up his native . ,river,train
his native river ,.,train
native river .,,train
supposing all these,but,train
but all these conjectures,supposing,train
but supposing these conjectures to,all,train
but supposing all conjectures to be,these,train
supposing all these to be false,conjectures,train
"all these conjectures be false ,",to,train
"these conjectures to false , you",be,train
"conjectures to be , you cannot",false,train
to be false you cannot contest,",",train
"be false , cannot contest the",you,train
"false , you contest the inestimable",cannot,train
", you cannot the inestimable benefit",contest,train
you cannot contest inestimable benefit which,the,train
cannot contest the benefit which i,inestimable,train
contest the inestimable which i shall,benefit,train
the inestimable benefit i shall confer,which,train
inestimable benefit which shall confer on,i,train
benefit which i confer on all,shall,train
which i shall on all mankind,confer,train
"i shall confer all mankind ,",on,train
"shall confer on mankind , to",all,train
"confer on all , to the",mankind,train
on all mankind to the last,",",train
"all mankind , the last generation",to,train
"mankind , to last generation ,",the,train
", to the generation , by",last,train
"to the last , by discovering",generation,train
the last generation by discovering a,",",train
"last generation , discovering a passage",by,train
"generation , by a passage near",discovering,train
", by discovering passage near the",a,train
by discovering a near the pole,passage,train
discovering a passage the pole to,near,train
a passage near pole to those,the,train
passage near the to those countries,pole,train
"near the pole those countries ,",to,train
"the pole to countries , to",those,train
"pole to those , to reach",countries,train
to those countries to reach which,",",train
"those countries , reach which at",to,train
"countries , to which at present",reach,train
", to reach at present so",which,train
to reach which present so many,at,train
reach which at so many months,present,train
which at present many months are,so,train
at present so months are requisite,many,train
present so many are requisite or,months,train
so many months requisite or by,are,train
many months are or by ascertaining,requisite,train
months are requisite by ascertaining the,or,train
are requisite or ascertaining the secret,by,train
requisite or by the secret of,ascertaining,train
or by ascertaining secret of the,the,train
by ascertaining the of the magnet,secret,train
"ascertaining the secret the magnet ,",of,train
"the secret of magnet , which",the,train
"secret of the , which ,",magnet,train
"of the magnet which , if",",",train
"the magnet , , if at",which,train
"magnet , which if at all",",",train
", which , at all possible",if,train
"which , if all possible ,",at,train
", if at possible , can",all,train
"if at all , can only",possible,train
at all possible can only be,",",train
"all possible , only be effected",can,train
"possible , can be effected by",only,train
", can only effected by an",be,train
can only be by an undertaking,effected,train
only be effected an undertaking such,by,train
be effected by undertaking such as,an,train
effected by an such as mine,undertaking,train
by an undertaking as mine .,such,train
an undertaking such mine . ,as,train
undertaking such as . ,mine,train
such as mine ,.,train
as mine .,,train
reflections have dispelled,these,train
these have dispelled the,reflections,train
these reflections dispelled the agitation,have,train
these reflections have the agitation with,dispelled,train
reflections have dispelled agitation with which,the,train
have dispelled the with which i,agitation,train
dispelled the agitation which i began,with,train
the agitation with i began my,which,train
agitation with which began my letter,i,train
"with which i my letter ,",began,train
"which i began letter , and",my,train
"i began my , and i",letter,train
began my letter and i feel,",",train
"my letter , i feel my",and,train
"letter , and feel my heart",i,train
", and i my heart glow",feel,train
and i feel heart glow with,my,train
i feel my glow with an,heart,train
feel my heart with an enthusiasm,glow,train
my heart glow an enthusiasm which,with,train
heart glow with enthusiasm which elevates,an,train
glow with an which elevates me,enthusiasm,train
with an enthusiasm elevates me to,which,train
an enthusiasm which me to heaven,elevates,train
"enthusiasm which elevates to heaven ,",me,train
"which elevates me heaven , for",to,train
"elevates me to , for nothing",heaven,train
me to heaven for nothing contributes,",",train
"to heaven , nothing contributes so",for,train
"heaven , for contributes so much",nothing,train
", for nothing so much to",contributes,train
for nothing contributes much to tranquillize,so,train
nothing contributes so to tranquillize the,much,train
contributes so much tranquillize the mind,to,train
so much to the mind as,tranquillize,train
much to tranquillize mind as a,the,train
to tranquillize the as a steady,mind,train
tranquillize the mind a steady purpose,as,train
the mind as steady purpose a,a,train
mind as a purpose a point,steady,train
as a steady a point on,purpose,train
a steady purpose point on which,a,train
steady purpose a on which the,point,train
purpose a point which the soul,on,train
a point on the soul may,which,train
point on which soul may fix,the,train
on which the may fix its,soul,train
which the soul fix its intellectual,may,train
the soul may its intellectual eye,fix,train
soul may fix intellectual eye .,its,train
may fix its eye . ,intellectual,train
fix its intellectual . ,eye,train
its intellectual eye ,.,train
intellectual eye .,,train
expedition has been,this,train
this has been the,expedition,train
this expedition been the favourite,has,train
this expedition has the favourite dream,been,train
expedition has been favourite dream of,the,train
has been the dream of my,favourite,train
been the favourite of my early,dream,train
the favourite dream my early years,of,train
favourite dream of early years .,my,train
dream of my years . ,early,train
of my early . ,years,train
my early years ,.,train
early years .,,train
have read with,i,train
i read with ardour,have,train
i have with ardour the,read,train
i have read ardour the accounts,with,train
have read with the accounts of,ardour,train
read with ardour accounts of the,the,train
with ardour the of the various,accounts,train
ardour the accounts the various voyages,of,train
the accounts of various voyages which,the,train
accounts of the voyages which have,various,train
of the various which have been,voyages,train
the various voyages have been made,which,train
various voyages which been made in,have,train
voyages which have made in the,been,train
which have been in the prospect,made,train
have been made the prospect of,in,train
been made in prospect of arriving,the,train
made in the of arriving at,prospect,train
in the prospect arriving at the,of,train
the prospect of at the north,arriving,train
prospect of arriving the north pacific,at,train
of arriving at north pacific ocean,the,train
arriving at the pacific ocean through,north,train
at the north ocean through the,pacific,train
the north pacific through the seas,ocean,train
north pacific ocean the seas which,through,train
pacific ocean through seas which surround,the,train
ocean through the which surround the,seas,train
through the seas surround the pole,which,train
the seas which the pole .,surround,train
seas which surround pole . ,the,train
which surround the . ,pole,train
surround the pole ,.,train
the pole .,,train
may remember that,you,train
you remember that a,may,train
you may that a history,remember,train
you may remember a history of,that,train
may remember that history of all,a,train
remember that a of all the,history,train
that a history all the voyages,of,train
a history of the voyages made,all,train
history of all voyages made for,the,train
of all the made for purposes,voyages,train
all the voyages for purposes of,made,train
the voyages made purposes of discovery,for,train
voyages made for of discovery composed,purposes,train
made for purposes discovery composed the,of,train
for purposes of composed the whole,discovery,train
purposes of discovery the whole of,composed,train
of discovery composed whole of our,the,train
discovery composed the of our good,whole,train
composed the whole our good uncle,of,train
the whole of good uncle thomas,our,train
whole of our uncle thomas library,good,train
of our good thomas library .,uncle,train
our good uncle library . ,thomas,train
good uncle thomas . ,library,train
uncle thomas library ,.,train
thomas library .,,train
education was neglected,my,train
"my was neglected ,",education,train
"my education neglected , yet",was,train
"my education was , yet i",neglected,train
education was neglected yet i was,",",train
"was neglected , i was passionately",yet,train
"neglected , yet was passionately fond",i,train
", yet i passionately fond of",was,train
yet i was fond of reading,passionately,train
i was passionately of reading .,fond,train
was passionately fond reading . ,of,train
passionately fond of . ,reading,train
fond of reading ,.,train
of reading .,,train
volumes were my,these,train
these were my study,volumes,train
these volumes my study day,were,train
these volumes were study day and,my,train
volumes were my day and night,study,train
"were my study and night ,",day,train
"my study day night , and",and,train
"study day and , and my",night,train
day and night and my familiarity,",",train
"and night , my familiarity with",and,train
"night , and familiarity with them",my,train
", and my with them increased",familiarity,train
and my familiarity them increased that,with,train
my familiarity with increased that regret,them,train
familiarity with them that regret which,increased,train
with them increased regret which i,that,train
them increased that which i had,regret,train
increased that regret i had felt,which,train
"that regret which had felt ,",i,train
"regret which i felt , as",had,train
"which i had , as a",felt,train
i had felt as a child,",",train
"had felt , a child ,",as,train
"felt , as child , on",a,train
", as a , on learning",child,train
as a child on learning that,",",train
"a child , learning that my",on,train
"child , on that my father",learning,train
", on learning my father s",that,train
on learning that father s dying,my,train
learning that my s dying injunction,father,train
that my father dying injunction had,s,train
my father s injunction had forbidden,dying,train
father s dying had forbidden my,injunction,train
s dying injunction forbidden my uncle,had,train
dying injunction had my uncle to,forbidden,train
injunction had forbidden uncle to allow,my,train
had forbidden my to allow me,uncle,train
forbidden my uncle allow me to,to,train
my uncle to me to embark,allow,train
uncle to allow to embark in,me,train
to allow me embark in a,to,train
allow me to in a seafaring,embark,train
me to embark a seafaring life,in,train
to embark in seafaring life .,a,train
embark in a life . ,seafaring,train
in a seafaring . ,life,train
a seafaring life ,.,train
seafaring life .,,train
visions faded when,these,train
these faded when i,visions,train
these visions when i perused,faded,train
"these visions faded i perused ,",when,train
"visions faded when perused , for",i,train
"faded when i , for the",perused,train
when i perused for the first,",",train
"i perused , the first time",for,train
"perused , for first time ,",the,train
", for the time , those",first,train
"for the first , those poets",time,train
the first time those poets whose,",",train
"first time , poets whose effusions",those,train
"time , those whose effusions entranced",poets,train
", those poets effusions entranced my",whose,train
those poets whose entranced my soul,effusions,train
poets whose effusions my soul and,entranced,train
whose effusions entranced soul and lifted,my,train
effusions entranced my and lifted it,soul,train
entranced my soul lifted it to,and,train
my soul and it to heaven,lifted,train
soul and lifted to heaven .,it,train
and lifted it heaven . ,to,train
lifted it to . ,heaven,train
it to heaven ,.,train
to heaven .,,train
also became a,i,train
i became a poet,also,train
i also a poet and,became,train
i also became poet and for,a,train
also became a and for one,poet,train
became a poet for one year,and,train
a poet and one year lived,for,train
poet and for year lived in,one,train
and for one lived in a,year,train
for one year in a paradise,lived,train
one year lived a paradise of,in,train
year lived in paradise of my,a,train
lived in a of my own,paradise,train
in a paradise my own creation,of,train
a paradise of own creation i,my,train
paradise of my creation i imagined,own,train
of my own i imagined that,creation,train
my own creation imagined that i,i,train
own creation i that i also,imagined,train
creation i imagined i also might,that,train
i imagined that also might obtain,i,train
imagined that i might obtain a,also,train
that i also obtain a niche,might,train
i also might a niche in,obtain,train
also might obtain niche in the,a,train
might obtain a in the temple,niche,train
obtain a niche the temple where,in,train
a niche in temple where the,the,train
niche in the where the names,temple,train
in the temple the names of,where,train
the temple where names of homer,the,train
temple where the of homer and,names,train
where the names homer and shakespeare,of,train
the names of and shakespeare are,homer,train
names of homer shakespeare are consecrated,and,train
of homer and are consecrated .,shakespeare,train
homer and shakespeare consecrated . ,are,train
and shakespeare are . ,consecrated,train
shakespeare are consecrated ,.,train
are consecrated .,,train
are well acquainted,you,train
you well acquainted with,are,train
you are acquainted with my,well,train
you are well with my failure,acquainted,train
are well acquainted my failure and,with,train
well acquainted with failure and how,my,train
acquainted with my and how heavily,failure,train
with my failure how heavily i,and,train
my failure and heavily i bore,how,train
failure and how i bore the,heavily,train
and how heavily bore the disappointment,i,train
how heavily i the disappointment .,bore,train
heavily i bore disappointment . ,the,train
i bore the . ,disappointment,train
bore the disappointment ,.,train
the disappointment .,,train
just at that,but,train
but at that time,just,train
but just that time i,at,train
but just at time i inherited,that,train
just at that i inherited the,time,train
at that time inherited the fortune,i,train
that time i the fortune of,inherited,train
time i inherited fortune of my,the,train
i inherited the of my cousin,fortune,train
"inherited the fortune my cousin ,",of,train
"the fortune of cousin , and",my,train
"fortune of my , and my",cousin,train
of my cousin and my thoughts,",",train
"my cousin , my thoughts were",and,train
"cousin , and thoughts were turned",my,train
", and my were turned into",thoughts,train
and my thoughts turned into the,were,train
my thoughts were into the channel,turned,train
thoughts were turned the channel of,into,train
were turned into channel of their,the,train
turned into the of their earlier,channel,train
into the channel their earlier bent,of,train
the channel of earlier bent .,their,train
channel of their bent . ,earlier,train
of their earlier . ,bent,train
their earlier bent ,.,train
earlier bent .,,train
years have passed,six,train
six have passed since,years,train
six years passed since i,have,train
six years have since i resolved,passed,train
years have passed i resolved on,since,train
have passed since resolved on my,i,train
passed since i on my present,resolved,train
since i resolved my present undertaking,on,train
i resolved on present undertaking .,my,train
resolved on my undertaking . ,present,train
on my present . ,undertaking,train
my present undertaking ,.,train
present undertaking .,,train
"can , even",i,train
"i , even now",can,train
"i can even now ,",",",train
"i can , now , remember",even,train
"can , even , remember the",now,train
", even now remember the hour",",",train
"even now , the hour from",remember,train
"now , remember hour from which",the,train
", remember the from which i",hour,train
remember the hour which i dedicated,from,train
the hour from i dedicated myself,which,train
hour from which dedicated myself to,i,train
from which i myself to this,dedicated,train
which i dedicated to this great,myself,train
i dedicated myself this great enterprise,to,train
dedicated myself to great enterprise .,this,train
myself to this enterprise . ,great,train
to this great . ,enterprise,train
this great enterprise ,.,train
great enterprise .,,train
commenced by inuring,i,train
i by inuring my,commenced,train
i commenced inuring my body,by,train
i commenced by my body to,inuring,train
commenced by inuring body to hardship,my,train
by inuring my to hardship .,body,train
inuring my body hardship . ,to,train
my body to . ,hardship,train
body to hardship ,.,train
to hardship .,,train
accompanied the whale,i,train
i the whale fishers,accompanied,train
i accompanied whale fishers on,the,train
i accompanied the fishers on several,whale,train
accompanied the whale on several expeditions,fishers,train
the whale fishers several expeditions to,on,train
whale fishers on expeditions to the,several,train
fishers on several to the north,expeditions,train
on several expeditions the north sea,to,train
several expeditions to north sea i,the,train
expeditions to the sea i voluntarily,north,train
to the north i voluntarily endured,sea,train
the north sea voluntarily endured cold,i,train
"north sea i endured cold ,",voluntarily,train
"sea i voluntarily cold , famine",endured,train
"i voluntarily endured , famine ,",cold,train
"voluntarily endured cold famine , thirst",",",train
"endured cold , , thirst ,",famine,train
"cold , famine thirst , and",",",train
", famine , , and want",thirst,train
"famine , thirst and want of",",",train
", thirst , want of sleep",and,train
"thirst , and of sleep i",want,train
", and want sleep i often",of,train
and want of i often worked,sleep,train
want of sleep often worked harder,i,train
of sleep i worked harder than,often,train
sleep i often harder than the,worked,train
i often worked than the common,harder,train
often worked harder the common sailors,than,train
worked harder than common sailors during,the,train
harder than the sailors during the,common,train
than the common during the day,sailors,train
the common sailors the day and,during,train
common sailors during day and devoted,the,train
sailors during the and devoted my,day,train
during the day devoted my nights,and,train
the day and my nights to,devoted,train
day and devoted nights to the,my,train
and devoted my to the study,nights,train
devoted my nights the study of,to,train
my nights to study of mathematics,the,train
"nights to the of mathematics ,",study,train
"to the study mathematics , the",of,train
"the study of , the theory",mathematics,train
study of mathematics the theory of,",",train
"of mathematics , theory of medicine",the,train
"mathematics , the of medicine ,",theory,train
", the theory medicine , and",of,train
"the theory of , and those",medicine,train
theory of medicine and those branches,",",train
"of medicine , those branches of",and,train
"medicine , and branches of physical",those,train
", and those of physical science",branches,train
and those branches physical science from,of,train
those branches of science from which,physical,train
branches of physical from which a,science,train
of physical science which a naval,from,train
physical science from a naval adventurer,which,train
science from which naval adventurer might,a,train
from which a adventurer might derive,naval,train
which a naval might derive the,adventurer,train
a naval adventurer derive the greatest,might,train
naval adventurer might the greatest practical,derive,train
adventurer might derive greatest practical advantage,the,train
might derive the practical advantage .,greatest,train
derive the greatest advantage . ,practical,train
the greatest practical . ,advantage,train
greatest practical advantage ,.,train
practical advantage .,,train
i actually hired,twice,train
twice actually hired myself,i,train
twice i hired myself as,actually,train
twice i actually myself as an,hired,train
i actually hired as an under,myself,train
actually hired myself an under mate,as,train
hired myself as under mate in,an,train
myself as an mate in a,under,train
as an under in a greenland,mate,train
an under mate a greenland whaler,in,train
"under mate in greenland whaler ,",a,train
"mate in a whaler , and",greenland,train
"in a greenland , and acquitted",whaler,train
a greenland whaler and acquitted myself,",",train
"greenland whaler , acquitted myself to",and,train
"whaler , and myself to admiration",acquitted,train
", and acquitted to admiration .",myself,train
and acquitted myself admiration . ,to,train
